#|num|weight|mean|covariance matrix|
|0|0.169305262810|-11.211718914021 20.695599664728 -2.704532048136|277.679440312470 5.645254228146 47.021858780657 5.645254228146 417.135443820587 -1.714136439958 47.021858780657 -1.714136439958 224.177315303896|
|1|0.067350632427|-2.495898815332 33.819345003574 15.380663692822|241.474401310647 -103.997631256419 104.908692324825 -103.997631256419 349.009525695439 -163.510355870256 104.908692324825 -163.510355870256 367.230913374817|
|2|0.003625860601|29.597487779012 26.598655090580 -7.034315568566|68.909035498720 5.921203335937 2.791825892640 5.921203335937 72.489096206310 21.405148540545 2.791825892640 21.405148540545 63.557987438601|
|3|0.030038505601|-11.651999700555 56.877156912041 -1.569617369256|236.075733131743 -69.468337803772 51.986627888330 -69.468337803772 177.399242630531 -64.612127556919 51.986627888330 -64.612127556919 217.972104185362|
|4|0.008408000689|-3.362362316206 30.572062306015 43.103217925821|77.383448174438 -5.229676755209 17.779991488319 -5.229676755209 195.824069062993 -58.990587807200 17.779991488319 -58.990587807200 123.807577004816|
|5|0.065245435481|-37.084773206851 -2.324759759567 -15.957388399515|351.441490730607 -60.901205301754 42.586753574974 -60.901205301754 147.088518757765 -1.904989810060 42.586753574974 -1.904989810060 208.906361776530|
|6|0.012940338201|-9.878333072485 6.623910528406 -15.127476560707|184.842915912108 63.756010803540 8.027282930655 63.756010803540 222.406498045556 7.975372620998 8.027282930655 7.975372620998 117.258941716275|
|7|0.326769488461|30.961408455956 -13.585332177342 33.730603558110|398.559793440012 -61.664063537505 61.502521491082 -61.664063537505 228.495708617257 -11.740029966114 61.502521491082 -11.740029966114 244.249580736534|
|8|0.091465595479|-6.726826446901 15.127930423254 11.260042204452|229.005319030314 -3.291195349760 103.034062017779 -3.291195349760 366.914416380157 -9.810871624749 103.034062017779 -9.810871624749 368.422355930086|
|9|0.011981906785|68.090953633742 -20.651683979904 56.705820281217|119.816420538624 20.821054918340 -47.598747476974 20.821054918340 187.213704149142 -47.400033938226 -47.598747476974 -47.400033938226 126.396907313054|
|10|0.003926230966|51.786215201988 -47.519259811233 19.154106679568|79.574560154876 5.108078683472 -59.165411813003 5.108078683472 65.141508202408 -34.815060424622 -59.165411813003 -34.815060424622 224.618159061588|
|11|0.005676052604|-6.945025680223 -27.000059487799 42.005049184262|100.597907836672 -21.694730278684 1.906509671397 -21.694730278684 96.190152272752 23.929286174903 1.906509671397 23.929286174903 61.104093282452|
|12|0.027733096477|-60.458085117480 13.978543305480 -20.475865465088|143.094091518431 32.487921635652 -16.875679693602 32.487921635652 152.493181106021 25.788463367048 -16.875679693602 25.788463367048 168.718269283080|
|13|0.008641256106|53.409070147997 -61.313585900432 -4.809867162964|57.232945794363 -12.050397605509 0.965163256803 -12.050397605509 109.186593365324 -13.968248808691 0.965163256803 -13.968248808691 81.610120624878|
|14|0.004618062966|79.385066101601 -1.951260825359 38.338864678947|76.899096280566 -22.563778433087 2.381769176849 -22.563778433087 74.260671019339 -2.614314821307 2.381769176849 -2.614314821307 92.005845212404|
|15|0.030889963476|24.695723072732 -7.156506294964 36.424147201395|377.540298444491 -145.476675380737 53.569250191450 -145.476675380737 346.673914818024 -12.635623600405 53.569250191450 -12.635623600405 208.844081736825|
|16|0.005962527004|60.912138710448 -25.671530147238 -5.361238443640|75.016785715186 -15.041099090391 0.395395406908 -15.041099090391 101.418752407026 -0.419380759895 0.395395406908 -0.419380759895 56.089586492059|
|17|0.008047707447|62.223794914357 -9.829339540669 19.362223446467|136.249808774748 23.903428530402 56.212687077886 23.903428530402 105.476451187801 67.477632439867 56.212687077886 67.477632439867 178.410969574372|
|18|0.020574197870|10.722869659462 16.056862310278 44.525287094966|198.365527810444 -27.078107861477 24.639391886681 -27.078107861477 176.193270940276 -5.851569904568 24.639391886681 -5.851569904568 120.387860238786|
|19|0.030542201386|-8.121833656048 49.302633050487 -17.225393989865|236.774654315658 -122.435727225881 42.856390743442 -122.435727225881 291.186344919258 -6.748307517019 42.856390743442 -6.748307517019 102.489515877196|
|20|0.010513622169|-14.315870006426 -18.556468922693 -12.203900338337|107.241473915761 -21.593818806874 13.538330512855 -21.593818806874 83.470081335889 -31.884229706178 13.538330512855 -31.884229706178 236.212407873140|
|21|0.027776517477|57.550515752979 -42.457243194790 53.915110556825|137.460006420915 25.048509636341 5.345682875025 25.048509636341 114.394624715847 33.094154396132 5.345682875025 33.094154396132 147.020043089548|
|22|0.027967537517|-34.941598959735 64.405785617336 -14.074017115941|99.321473408530 29.483503883881 7.541582793203 29.483503883881 173.868784626020 -16.516712154570 7.541582793203 -16.516712154570 137.983137108998|
